source,target,flow
6097,6055,273
11001,51107,273
12117,12011,273
24037,24017,273
13051,48453,272
53053,53063,272
53035,53061,272
24037,24009,271
12011,12097,270
12083,12057,270
24033,24009,270
28059,1097,270
6059,6019,269
12103,12105,269
12101,12105,269
34013,36005,269
37147,37013,269
44009,9011,269
22121,22033,269
37031,37049,268
6001,36061,267
12011,12083,267
12009,12099,267
34001,34015,267
34035,34013,267
36005,36085,267
42017,42029,267
42101,17031,267
48201,53033,267
53053,8041,267
6073,6053,266
6037,12099,266
42101,36081,266
34033,34015,265
34003,34025,265
36081,17031,265
22063,22005,265
6041,6037,264
6073,6019,264
6037,42101,264
12111,12095,264
34031,34037,264
36005,34031,264
36071,36005,264
6111,6053,263
11001,24003,263
11001,42101,263
53045,53035,263
23019,23005,262
36081,42101,262
37013,37147,262
6037,24031,261
6111,6071,261
24033,51013,261
34017,12086,261
36005,12086,261
37049,37031,261
6001,6061,260
6073,49035,260
6037,6087,260
12127,12009,260
36085,36005,260
36047,37119,260
6059,48113,259
9003,36061,259
12103,12115,259
6097,6037,258
9009,9011,258
36119,36103,258
36005,9009,258
48201,6059,258
53053,6037,258
6075,48453,257
9009,36047,257
9003,25025,257
36059,6037,257
6081,6041,256
6059,6083,256
6013,6061,256
9001,36005,256
25005,25001,256
12117,12057,255
48201,13121,255
48201,22051,255
6013,32003,254
6073,51059,254
6037,27053,254
12086,48113,254
12071,12103,254
12099,36103,254
22033,22055,254
12031,12127,253
23019,23009,253
34035,36061,253
6073,4027,252
12057,6037,252
12009,12127,252
24035,24003,252
25021,36061,252
34035,34025,252
41039,41019,252
22033,22047,251
6001,6087,250
12099,12103,250
24025,42133,250
36061,34031,250
36005,36027,250
6095,6037,249
6097,6095,249
12011,12001,249
12011,36059,249
34021,42101,249
36119,6037,249
41051,4013,249
48167,48453,249
22095,22051,249
6085,6065,248
6073,12031,248
12057,17031,248
12053,12103,248
23009,23019,248
36047,6073,248
48201,12011,248
22051,22087,248
9011,44009,247
25017,12099,247
34025,34039,247
48201,40109,247
53067,53045,247
6013,4013,246
36047,42089,246
6037,37119,245
36059,9001,245
36081,36087,245
48273,48355,245
22033,22037,245
12031,12001,244
12075,12001,244
24003,51059,244
53061,53063,244
41051,41009,243
48201,48015,243
34039,36047,242
34031,36061,242
53033,6081,242
6013,48201,241
6037,4025,241
25001,25005,241
53033,6065,241
1097,28059,240
6037,35001,240
6037,48121,240
9011,9009,240
12011,32003,240
34001,42101,240
36061,36027,240
22075,22051,240
12127,48453,239
36061,37119,239
48201,48141,239
6073,53061,238
6037,13089,238
11001,53033,238
12011,4013,238
34017,36119,238
12031,12073,237
12009,12031,237
12099,36081,237
34029,34021,237
34031,34023,237
42045,42017,237
9001,25017,236
12086,6073,236
12103,12086,236
34031,34029,236
22019,22011,236
6059,6079,235
13051,13121,235
25005,44005,235
42017,42045,235
48201,48091,235
53033,36047,235
53033,53007,235
6059,49035,234
6095,6097,234
6079,6073,234
25017,23005,234
41039,41047,234
53029,53057,234
12033,12091,233
34029,34003,233
37133,37129,233
45019,37119,233
22051,22105,233
6037,25025,232
9001,6037,232
6001,6065,231
6037,6025,231
12086,12001,231
12099,36047,231
36027,36079,231
37129,37119,231
45019,45079,231
22047,22033,231
6085,6017,230
6053,6111,230
23005,23011,230
36103,6037,230
48201,22055,230
53033,48113,230
6085,32031,229
6001,6019,229
6001,17031,229
6073,53035,229
12086,37119,229
12011,12085,229
36059,34017,229
36071,36061,229
42101,11001,229
6073,6079,228
6037,26125,228
12086,12127,228
12057,12009,228
12099,17031,228
34021,34029,228
6059,48085,227
6073,6097,227
12031,12103,227
12086,13089,227
44007,44005,227
6085,17031,226
6087,6075,226
12057,12117,226
6085,48201,225
6001,41051,225
6053,6067,225
34015,34011,225
6041,6081,224
6041,6095,224
6073,8041,224
6045,6097,224
12086,13135,224
24033,48453,224
25025,48453,224
34025,12099,224
36047,25025,224
36039,36001,224
36071,36047,224
37133,37141,224
6059,41051,223
6073,53053,223
9009,25017,223
12011,12069,223
12109,12035,223
36083,36093,223
45051,45019,223
53033,53005,223
22055,22033,223
12057,13121,222
36005,34023,222
36027,36061,222
37049,37133,222
12115,12071,221
34025,34013,221
34003,36119,221
36079,9001,221
53033,49035,221
34003,34037,220
36047,41051,220
37031,37133,220
48201,6085,220
53033,16001,220
6095,6085,219
6037,48491,219
13051,13179,219
24003,24013,219
36081,37119,219
36119,9009,219
53061,6073,219
6059,48439,218
6053,6019,218
12033,12031,218
36103,12009,218
12099,12117,217
44005,44007,217
34031,34039,216
45019,45045,216
48201,48407,216
53067,53027,216
22103,22033,216
6073,32031,215
6073,41067,215
36061,8031,215
36047,24031,215
22051,22075,215
6001,36047,214
6037,16001,214
48201,22019,214
48201,48329,214
48469,48201,214
36047,13121,213
12127,12011,212
34011,34033,212
36119,34017,212
22033,22103,212
6013,6099,211
6073,8031,211
6037,13135,211
12086,11001,211
12011,13067,211
12117,12099,211
23005,23017,211
23011,23001,211
36081,24031,211
6097,6073,210
12011,36005,210
12109,12019,210
24039,24045,210
34023,34019,210
36081,12057,210
36087,36047,210
37107,37147,210
12031,51810,209
12011,13135,209
34029,34017,209
34035,34029,209
36005,42101,209
42017,42095,209
42101,34001,209
11001,6001,208
42101,42071,208
6081,6059,207
6081,6087,207
6073,12086,207
12103,12071,207
25025,33011,207
25025,33015,207
36071,36081,207
6085,6079,206
6087,6037,206
12086,36005,206
12103,12099,206
6097,6085,205
11001,51153,205
12031,48201,205
12103,12031,205
36059,12086,205
41051,6073,205
41051,41071,205
48355,48249,205
53061,6037,205
6013,53033,204
12086,13067,204
34025,34003,204
34003,36071,204
36103,37119,204
36047,36027,204
6095,6081,203
6013,48453,203
12086,12115,203
12057,12083,203
36085,34017,203
6097,6045,202
12057,12001,202
12057,12073,202
12117,12105,202
34015,34001,202
36061,51059,202
6081,53033,201
6001,48201,201
6075,6087,201
12057,12097,201
12133,12005,201
34029,34001,201
36059,34003,201
42101,24510,201
53053,6073,201
22053,22019,201
11001,24017,200
12011,12061,200
34033,34011,200
34005,34023,200
34017,9001,200
36103,9001,200
36119,12011,200
41039,41003,200
6073,6077,199
12086,12083,199
34029,34039,199
36047,34031,199
41039,41005,199
22019,22053,199
36061,12095,198
53011,53053,198
53033,6013,198
25025,11001,197
36081,9009,197
36061,4013,197
36087,36005,197
42101,25017,197
48201,6013,197
53053,53011,197
53011,4013,197
53033,6067,197
6001,32031,196
6075,6065,196
9009,25025,196
12011,37119,196
24009,24033,196
34029,34013,196
42101,6075,196
48061,48355,196
6053,6069,195
12011,13089,195
12011,36103,195
24510,24013,195
25017,23031,195
34023,34031,195
36061,34021,195
36047,36001,195
41051,6075,195
42101,42011,195
6085,48113,194
12101,12095,194
25017,48201,194
48167,48157,194
11001,6073,193
12127,12099,193
36005,36079,193
37133,37183,193
41009,41051,193
53053,32003,193
53033,4019,193
53033,53045,193
9003,36047,192
12086,34017,192
12081,48453,192
34023,36085,192
34013,48453,192
42101,24031,192
6073,6095,191
6073,11001,191
12127,12057,191
33015,25025,191
34017,36059,191
36081,13135,191
36061,36111,191
36047,13089,191
6073,8005,190
12031,13121,190
12009,48453,190
12069,12057,190
13051,45013,190
25021,6037,190
36103,48453,190
36081,25017,190
37133,37031,190
37019,45051,190
22105,22033,190
6081,32003,189
6059,4015,189
6079,6029,189
12099,12127,189
24510,36061,189
33017,33011,189
34025,34035,189
36005,12057,189
48409,48007,189
6083,6029,188
12099,48201,188
24510,48453,188
34021,34017,188
48245,48453,188
48355,48273,188
6073,12011,187
6073,17097,187
12099,12073,187
12005,12133,187
12117,12086,187
36061,9003,187
42045,34007,187
6081,6061,186
6073,4025,186
12099,12061,186
34039,36081,186
36081,34031,186
36047,12057,186
36047,36029,186
37141,37133,186
37061,37163,186
42101,12086,186
45013,13051,186
53033,53009,186
6059,48029,185
12011,12115,185
12011,48113,185
12057,48113,185
34003,12011,185
34003,34035,185
36103,34017,185
36061,6081,185
36047,36111,185
48201,48005,185
6037,48157,184
6075,25025,184
9001,25025,184
9003,12099,184
13051,13089,184
24005,11001,184
25009,25023,184
25025,12086,184
25017,12011,184
34001,34029,184
34017,34021,184
42045,34015,184
1097,1073,183
6085,41051,183
6073,36047,183
6037,53011,183
25017,9003,183
34007,42091,183
36047,42077,183
41009,41067,183
41051,41029,183
48201,40143,183
22097,22001,183
6095,6077,182
6073,25017,182
6083,6085,182
9001,17031,182
36081,42089,182
36061,12057,182
48167,48339,182
6013,6113,181
6073,12057,181
6037,36103,181
13039,12031,181
24033,48201,181
24510,42133,181
36061,25021,181
36047,9003,181
41051,48453,181
22103,28109,181
1097,48453,180
6013,6065,180
12011,6073,180
12011,12087,180
12057,4013,180
12057,12127,180
12009,12086,180
25017,36081,180
34029,34027,180
34011,34007,180
34013,12099,180
36005,34039,180
36071,34003,180
48007,48409,180
6037,13067,179
6075,25017,179
6079,6019,179
12053,12017,179
12117,12103,179
24025,24003,179
36005,12097,179
6073,27053,178
6073,48141,178
6037,40109,178
6075,32003,178
12021,12095,178
12021,48453,178
12099,13121,178
25025,53033,178
36085,34029,178
6073,6061,177
6037,49049,177
6087,6073,177
12099,12105,177
12117,48453,177
25001,25027,177
25017,51059,177
53033,27053,177
22045,22099,177
6037,36059,176
6037,37183,176
6037,41005,176
6075,6055,176
11001,48201,176
12031,12009,176
36059,48453,176
36005,42089,176
53033,8031,176
22001,22097,176
6085,6041,175
6085,6071,175
6037,39049,175
6053,15003,175
9001,12011,175
12075,12083,175
25025,42101,175
53061,53067,175
53053,48027,175
6111,6085,174
12086,12069,174
12083,12127,174
24003,10005,174
25025,6073,174
34017,12011,174
36085,36059,174
36047,24510,174
36005,42077,174
6037,6113,173
12057,12069,173
12057,37119,173
12017,12053,173
34005,34001,173
34005,42091,173
36103,4013,173
45013,45019,173
22019,22055,173
6037,4021,172
9001,48453,172
12031,12117,172
25017,9001,172
34023,42017,172
36087,36081,172
48201,12099,172
53033,12086,172
22087,22051,172
11001,25025,171
12071,12051,171
24510,42101,171
25009,23031,171
